,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
99855,5720,18,99852.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,
99856,5720,41,99847.0,4.0,1.0,0.0,9.0,-22.0,61.0,0.0,100.0,
99892,5723,19,99884.0,1.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,
99893,5723,22,99888.0,2.0,0.0,0.0,5.0,0.0,74.0,0.0,100.0,
99894,5723,17,99885.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,
99895,5723,40,99891.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,
99931,5724,39,99929.0,1.0,0.0,0.0,2.0,0.0,8.0,-1.0,93.0,
99932,5724,40,99928.0,2.0,1.0,0.0,4.0,100.0,0.0,2.0,89.0,
99933,5724,22,99930.0,3.0,0.0,0.0,3.0,0.0,91.0,-1.0,92.0,
99934,5724,16,99926.0,4.0,1.0,1.0,8.0,9.0,85.0,4.0,87.0,
99970,5726,23,99962.0,1.0,0.0,0.0,8.0,0.0,86.0,5.0,87.0,
99971,5726,15,99968.0,2.0,1.0,0.0,3.0,-76.0,88.0,-17.0,100.0,
99972,5726,39,99963.0,3.0,0.0,0.0,9.0,0.0,94.0,-3.0,100.0,
99973,5726,41,99967.0,4.0,1.0,0.0,6.0,-86.0,93.0,8.0,86.0,
100009,5727,16,100006.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,30751.0
100010,5727,41,100002.0,2.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,12389.0
100011,5727,23,100003.0,3.0,0.0,0.0,8.0,0.0,32.0,0.0,68.0,9249.0
100012,5727,19,100001.0,4.0,1.0,0.0,11.0,-14.0,57.0,-13.0,52.0,8819.0
100048,5729,39,100043.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,77829.0
100049,5729,40,100045.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,100.0,47192.0
100050,5729,17,100041.0,3.0,0.0,0.0,9.0,0.0,7.0,0.0,100.0,17846.0
100051,5729,20,100040.0,4.0,1.0,0.0,11.0,60.0,20.0,0.0,100.0,31389.0
100087,5730,23,100080.0,1.0,0.0,0.0,7.0,0.0,65.0,14.0,57.0,23583.0
100088,5730,15,100079.0,2.0,1.0,0.0,9.0,46.0,27.0,39.0,45.0,9133.0
100089,5730,18,100085.0,3.0,0.0,0.0,4.0,0.0,36.0,-8.0,91.0,13189.0
100090,5730,16,100086.0,4.0,1.0,0.0,4.0,-58.0,79.0,-6.0,91.0,7965.0
100126,5731,15,100121.0,1.0,0.0,0.0,5.0,-53.0,71.0,-20.0,100.0,209044.0
100127,5731,16,100118.0,2.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,37042.0
100128,5731,22,100120.0,3.0,0.0,0.0,8.0,-27.0,66.0,-25.0,97.0,89560.0
100129,5731,18,100124.0,4.0,1.0,0.0,5.0,76.0,12.0,-86.0,86.0,133577.0
100165,5736,40,100157.0,1.0,0.0,0.0,8.0,0.0,93.0,-4.0,99.0,
100166,5736,18,100163.0,2.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,
100167,5736,39,100158.0,3.0,0.0,0.0,9.0,0.0,63.0,32.0,64.0,
100168,5736,17,100160.0,4.0,1.0,1.0,8.0,0.0,81.0,5.0,82.0,
100204,5737,16,100201.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,
100205,5737,21,100199.0,2.0,1.0,0.0,6.0,-38.0,69.0,-41.0,69.0,
100206,5737,41,100197.0,3.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,
100207,5737,20,100196.0,4.0,1.0,0.0,11.0,-40.0,70.0,44.0,23.0,
100243,5738,22,100237.0,1.0,0.0,0.0,6.0,0.0,78.0,0.0,100.0,126897.0
100244,5738,39,100240.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,12128.0
100245,5738,17,100242.0,3.0,0.0,0.0,3.0,0.0,22.0,0.0,100.0,7936.0
100246,5738,18,100241.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,5737.0
100282,5739,15,100277.0,1.0,0.0,0.0,5.0,0.0,28.0,6.0,88.0,
100283,5739,21,100279.0,2.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
100284,5739,17,100274.0,3.0,0.0,0.0,10.0,0.0,19.0,11.0,84.0,
100285,5739,40,100275.0,4.0,1.0,0.0,10.0,100.0,0.0,7.0,81.0,
100321,5740,19,100318.0,1.0,0.0,0.0,3.0,0.0,70.0,-1.0,90.0,23022.0
100322,5740,18,100315.0,2.0,1.0,0.0,7.0,-42.0,71.0,6.0,87.0,37525.0
100323,5740,17,100316.0,3.0,0.0,0.0,7.0,0.0,64.0,-2.0,100.0,54021.0
100324,5740,21,100314.0,4.0,1.0,0.0,10.0,60.0,36.0,0.0,95.0,46441.0
100360,5741,20,100355.0,1.0,0.0,0.0,5.0,0.0,100.0,-8.0,100.0,40700.0
100361,5741,19,100353.0,2.0,1.0,0.0,8.0,-12.0,56.0,0.0,100.0,39385.0
100362,5741,22,100354.0,3.0,0.0,0.0,8.0,0.0,85.0,0.0,100.0,43730.0
100363,5741,18,100352.0,4.0,1.0,0.0,11.0,-62.0,81.0,56.0,44.0,20881.0
100399,5743,23,100392.0,1.0,0.0,0.0,7.0,0.0,74.0,5.0,76.0,26162.0
100400,5743,40,100398.0,2.0,1.0,1.0,2.0,-6.0,63.0,1.0,62.0,20346.0
100401,5743,18,100393.0,3.0,0.0,0.0,8.0,-14.0,77.0,-74.0,79.0,48627.0
